Cena,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Zarejestrowany w Polsce,Stan,Wersja,Generacja,Metalik,Pierwsza rejestracja,Bezwypadkowy,Kod Silnika,Możliwość finansowania,Faktura VAT,Leasing,Numer rejestracyjny pojazdu,Serwisowany w ASO,Kraj pochodzenia,Pierwszy właściciel,VAT marża,Miesięczna rata,lub do (przebieg km),Filtr cząstek stałych,Emisja CO2,Perłowy,Homologacja ciężarowa,Akryl (niemetalizowany),Gwarancja dealerska (w cenie),Uszkodzony,Tuning,VIN,Matowy,Okres gwarancji producenta,Kierownica po prawej (Anglik),Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Zarejestrowany jako zabytek
57000PLN,Osoby prywatnej,Osobowe,Škoda,Octavia,2014,160 000 km,1 968 cm3,Diesel,184 KM,Manualna,,Kombi,5,,Biały,,Używane,2.0 TDI RS,III (2013-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36000PLN,Osoby prywatnej,Osobowe,Volkswagen,Passat,2012,241 163 km,1 968 cm3,Diesel,140 KM,Manualna,4x4 (dołączany automatycznie),Kombi,5,,Inny kolor,,Używane,2.0 TDI 4Mot,B7 (2010-2014),Tak,,,,Tak,,,,,,,,,,Tak,,,,,,,,,,,,,,,
249999PLN,Osoby prywatnej,Osobowe,Porsche,Cayenne,2015,179 400 km,4 200 cm3,Diesel,385 KM,Automatyczna,4x4 (stały),SUV,5,5,Czerwony,Tak,Używane,II (2010-2017),II (2010-),Tak,,Tak,,,Tak,,P3ALINA,Tak,Polska,Tak,,,,Tak,,,,,,,,,,01/11/2020,,,,,
39999PLN,Osoby prywatnej,Osobowe,BMW,X1,2011,89 596 km,1 995 cm3,Benzyna,150 KM,Manualna,Na tylne koła,SUV,4,5,Czarny,Tak,Używane,,E84 (2009-2015),,28/12/2011,,,Tak,,,RP70650,,Niemcy,,,,,,,Tak,,,,,,,,,,,,,
27900PLN,Osoby prywatnej,Osobowe,Opel,Meriva,2013,127 000 km,1 364 cm3,Benzyna,120 KM,Manualna,Na przednie koła,Minivan,5,5,Czarny,Tak,Używane,1.4 T Edition 150,II (2010-),Tak,30/08/2013,,,Tak,,,PGN497JG,,Niemcy,,,,,,,Tak,,,,,,,,,,,,,
26900PLN,Osoby prywatnej,Osobowe,Peugeot,208,2013,124 000 km,1 598 cm3,Benzyna,120 KM,Manualna,Na przednie koła,Auta miejskie,3,5,Biały,,Używane,1.6 VTi Allure,,Tak,,,,Tak,,,,,Niemcy,,Tak,,,,,,,,,,,,,,,,,,
85900PLN,Osoby prywatnej,Osobowe,BMW,Seria 3,2015,105 000 km,2 000 cm3,Diesel,190 KM,Automatyczna,4x4 (dołączany automatycznie),Sedan,,,Czarny,,Używane,,,,,,,,,,,,Niemcy,,,,,,,,,,,,,,,,,,,,
132000PLN,Osoby prywatnej,Osobowe,BMW,X4,2015,165 000 km,3 000 cm3,Diesel,264 KM,Automatyczna,4x4 (stały),SUV,,,Czarny,,Używane,,F26 (2014–2018),Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22400PLN,Osoby prywatnej,Osobowe,Volkswagen,Golf,2009,149 000 km,1 968 cm3,Diesel,110 KM,Manualna,Na przednie koła,Kompakt,5,,Inny kolor,,Używane,VI 2.0 TDI Trendline,VI (2008-2013),,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,
33500PLN,Osoby prywatnej,Osobowe,Audi,A4,2008,184 500 km,1 798 cm3,Benzyna,160 KM,Automatyczna,,Kombi,5,,Niebieski,,Używane,1.8 TFSI Multitronic,B8 (2007-2015),,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,
